paper_id,title,venue,year,section_type,sentence_count,exact_sequence,collapsed_sequence,archetype_id,archetype_name,function_counts,evidence_quality
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Abstract,7,BG -> METHOD -> INTERPRET -> INTERPRET -> SETUP -> SETUP -> RESULT,BG -> METHOD -> INTERPRET -> SETUP -> RESULT,ABS_A,完整摘要链,INTERPRET=2; SETUP=2; BG=1; METHOD=1; RESULT=1,full_sequence
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Introduction,7,RESULT -> BG -> BG -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET,RESULT -> BG -> INTERPRET,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=4; BG=2; RESULT=1,full_sequence
01_TCASI:paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,TCAS-I,2024,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Abstract,9,PROBLEM -> INTERPRET -> PROBLEM -> METHOD -> INTERPRET -> GAP -> INTERPRET -> PROBLEM -> RESULT,PROBLEM -> INTERPRET -> PROBLEM -> METHOD -> INTERPRET -> GAP -> INTERPRET -> PROBLEM -> RESULT,ABS_A,完整摘要链,INTERPRET=3; PROBLEM=3; GAP=1; METHOD=1; RESULT=1,full_sequence
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Introduction,10,BG -> BG -> BG -> PROBLEM -> INTERPRET -> NEED -> GAP -> INTERPRET -> INTERPRET -> PROBLEM,BG -> PROBLEM -> INTERPRET -> NEED -> GAP -> INTERPRET -> PROBLEM,INT_C,问题缺口驱动型,BG=3; INTERPRET=3; PROBLEM=2; GAP=1; NEED=1,full_sequence
01_TCASI:paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",TCAS-I,2024,Results,6,RESULT -> RESULT -> RESULT -> RESULT -> SETUP -> SETUP,RESULT -> SETUP,RES_D,短结果链型,RESULT=4; SETUP=2,full_sequence
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Abstract,10,BG -> RESULT -> PROBLEM -> RESULT -> METHOD -> RESULT -> RESULT -> RESULT -> METHOD -> RESULT,BG -> RESULT -> PROBLEM -> RESULT -> METHOD -> RESULT -> METHOD -> RESULT,ABS_B,问题-方法-结果型,RESULT=6; METHOD=2; BG=1; PROBLEM=1,full_sequence
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Introduction,12,BG -> BG -> BG -> PROBLEM -> INTERPRET -> INTERPRET -> INTERPRET -> RESULT -> RESULT -> RESULT -> INTERPRET -> INTERPRET,BG -> PROBLEM -> INTERPRET -> RESULT -> INTERPRET,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=5; BG=3; RESULT=3; PROBLEM=1,full_sequence
01_TCASI:paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,TCAS-I,2024,Results,7,RESULT -> RESULT -> RESULT -> GAP -> RESULT -> RESULT -> RESULT,RESULT -> GAP -> RESULT,RES_D,短结果链型,RESULT=6; GAP=1,full_sequence
01_TCASI:paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,TCAS-I,2024,Abstract,9,RESULT -> PROBLEM -> NEED -> INTERPRET -> PROBLEM -> PROBLEM -> INTERPRET -> RESULT -> RESULT,RESULT -> PROBLEM -> NEED -> INTERPRET -> PROBLEM -> INTERPRET -> RESULT,ABS_E,压缩/非典型型,PROBLEM=3; RESULT=3; INTERPRET=2; NEED=1,full_sequence
01_TCASI:paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,TCAS-I,2024,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
01_TCASI:paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,TCAS-I,2024,Introduction,11,PROBLEM -> BG -> BG -> PROBLEM -> INTERPRET -> INTERPRET -> INTERPRET -> INTERPRET -> RESULT -> INTERPRET -> PROBLEM,PROBLEM -> BG -> PROBLEM -> INTERPRET -> RESULT -> INTERPRET -> PROBLEM,INT_A,背景-问题-缺口-任务-贡献型,INTERPRET=5; PROBLEM=3; BG=2; RESULT=1,full_sequence
01_TCASI:paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,TCAS-I,2024,Results,1,RESULT,RESULT,RES_X,部分证据型,RESULT=1,partial/notes-derived
01_TCASI:paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,TCAS-I,2025,Abstract,10,BG -> PROBLEM -> METHOD -> INTERPRET -> INTERPRET -> PROBLEM -> PROBLEM -> INTERPRET -> INTERPRET -> PROBLEM,BG -> PROBLEM -> METHOD -> INTERPRET -> PROBLEM -> INTERPRET -> PROBLEM,ABS_E,压缩/非典型型,INTERPRET=4; PROBLEM=4; BG=1; METHOD=1,full_sequence
01_TCASI:paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,TCAS-I,2025,Contribution,1,CONTRIB,CONTRIB,CON_A,单条贡献块,CONTRIB=1,full_sequence
