title,url,result,pdf_url
A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,,doi_or_empty,
A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,https://uhra.herts.ac.uk/id/eprint/10482/1/TCAD_FINAL_VERSION.pdf,direct_pdf,https://uhra.herts.ac.uk/id/eprint/10482/1/TCAD_FINAL_VERSION.pdf
Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,,doi_or_empty,
Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,https://uhra.herts.ac.uk/id/eprint/11289/1/TCAD_IoMT.pdf,direct_pdf,https://uhra.herts.ac.uk/id/eprint/11289/1/TCAD_IoMT.pdf
MNSIM 2.0: A Behavior-Level Modeling Tool for Processing-In-Memory Architectures,https://ieeexplore.ieee.org/ielx7/43/6917053/10058114.pdf,fetch_failed:HTTPError,
MNSIM 2.0: A Behavior-Level Modeling Tool for Processing-In-Memory Architectures,https://ieeexplore.ieee.org/ielx7/43/6917053/10058114.pdf,fetch_failed:HTTPError,
MURLAV: A Multiple-Node-Upset Recovery Latch and Algorithm-Based Verification Method,,doi_or_empty,
MURLAV: A Multiple-Node-Upset Recovery Latch and Algorithm-Based Verification Method,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04737519/document,no_pdf_found,
HALTRAV: Design of a High-Performance and Area-Efficient Latch With Triple-Node-Upset Recovery and Algorithm-Based Verifications,,doi_or_empty,
HALTRAV: Design of a High-Performance and Area-Efficient Latch With Triple-Node-Upset Recovery and Algorithm-Based Verifications,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04954952v1/document,no_pdf_found,
EQ-ViT: Algorithm-Hardware Co-Design for End-to-End Acceleration of Real-Time Vision Transformer Inference on Versal ACAP Architecture,,doi_or_empty,
EQ-ViT: Algorithm-Hardware Co-Design for End-to-End Acceleration of Real-Time Vision Transformer Inference on Versal ACAP Architecture,https://pmc.ncbi.nlm.nih.gov/articles/PMC12327521/pdf/nihms-2034244.pdf,no_pdf_found,
GNN4HT: A Two-Stage GNN-Based Approach for Hardware Trojan Multifunctional Classification,,doi_or_empty,
GNN4HT: A Two-Stage GNN-Based Approach for Hardware Trojan Multifunctional Classification,https://doi.org/10.1109/tcad.2024.3428469,doi_or_empty,
An Efficient Gustavson-Based Sparse Matrix–Matrix Multiplication Accelerator on Embedded FPGAs,,doi_or_empty,
An Efficient Gustavson-Based Sparse Matrix–Matrix Multiplication Accelerator on Embedded FPGAs,https://dr.ntu.edu.sg/bitstream/10356/169151/2/TCAD3281719.pdf,fetch_failed:HTTPError,
"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",,doi_or_empty,
"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",https://arxiv.org/pdf/2309.13015,direct_pdf,https://arxiv.org/pdf/2309.13015
Analog RF Circuit Sizing by a Cascade of Shallow Neural Networks,https://ieeexplore.ieee.org/ielx7/43/6917053/10143358.pdf,fetch_failed:HTTPError,
Analog RF Circuit Sizing by a Cascade of Shallow Neural Networks,https://ieeexplore.ieee.org/ielx7/43/6917053/10143358.pdf,fetch_failed:HTTPError,
A Security-Aware and LUT-Based CAD Flow for the Physical Synthesis of hASICs,https://ieeexplore.ieee.org/ielx7/43/6917053/10044229.pdf,fetch_failed:HTTPError,
A Security-Aware and LUT-Based CAD Flow for the Physical Synthesis of hASICs,https://ieeexplore.ieee.org/ielx7/43/6917053/10044229.pdf,fetch_failed:HTTPError,
