id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,Sonu Kumar; Arjun S. Nair; Bhawna Chaudhary; Mukul Lokhande; Santosh Kumar Vishvakarma,2026,TVLSI,https://doi.org/10.1109/tvlsi.2026.3680055,https://arxiv.org/pdf/2510.17392,arXiv (Cornell University),memory / CIM,downloaded_pdf,pdfs/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.pdf,notes/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.md,03_TVLSI
paper_02,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,Limin Jiang; Yi Shi; Yihao Shen; Shan Cao; Zhiyuan Jiang; Sheng Zhou,2025,TVLSI,https://doi.org/10.1109/tvlsi.2025.3602401,https://arxiv.org/pdf/2504.10832,ArXiv.org,digital IC / architecture,downloaded_pdf,pdfs/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.pdf,notes/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.md,03_TVLSI
paper_03,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,Marco Bertuletti; Yichao Zhang; Alessandro Vanelli‐Coralli; Luca Benini,2025,TVLSI,https://doi.org/10.1109/tvlsi.2025.3576855,https://arxiv.org/pdf/2508.06176,ArXiv.org,digital IC / architecture,downloaded_pdf,pdfs/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.pdf,notes/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.md,03_TVLSI
paper_04,A Scalable FPGA Architecture With Adaptive Memory Utilization for GEMM-Based Operations,Αναστάσιος Πετρόπουλος; Theodore Antonakopoulos,2025,TVLSI,https://doi.org/10.1109/tvlsi.2025.3571677,https://arxiv.org/pdf/2510.08137,ArXiv.org,"FPGA implementation, digital IC / architecture, memory / CIM",downloaded_pdf,pdfs/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.pdf,notes/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.md,03_TVLSI
paper_05,Strassen Multisystolic Array Hardware Architectures,Trevor E. Pogue; Nicola Nicolici,2025,TVLSI,https://doi.org/10.1109/tvlsi.2025.3530785,https://arxiv.org/pdf/2502.10063,ArXiv.org,digital IC / architecture,downloaded_pdf,pdfs/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.pdf,notes/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.md,03_TVLSI
paper_06,CapsBeam: Accelerating Capsule Network-Based Beamformer for Ultrasound Nonsteered Plane-Wave Imaging on Field-Programmable Gate Array,Abdul Rahoof; Vivek Chaturvedi; Mahesh Raveendranatha Panicker; Muhammad Shafique,2025,TVLSI,https://doi.org/10.1109/tvlsi.2025.3559403,https://arxiv.org/pdf/2509.03201,ArXiv.org,digital IC / VLSI systems,downloaded_pdf,pdfs/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.pdf,notes/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.md,03_TVLSI
paper_07,SPEED: A Scalable RISC-V Vector Processor Enabling Efficient Multiprecision DNN Inference,Chuanning Wang; Chao Fang; Xiao Wu; Zhongfeng Wang; Jun Lin,2024,TVLSI,https://doi.org/10.1109/tvlsi.2024.3466224,https://arxiv.org/pdf/2409.14017,arXiv (Cornell University),digital IC / architecture,downloaded_pdf,pdfs/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.pdf,notes/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.md,03_TVLSI
paper_08,Detect and Replace: Efficient Soft Error Protection of FPGA-Based CNN Accelerators,Zhen Gao; Y. Qi; Jinchang Shi; Qiang Liu; Guangjun Ge; Yu Wang; Pedro Reviriego,2024,TVLSI,https://doi.org/10.1109/tvlsi.2024.3443834,https://oa.upm.es/83243/3/83243.pdf,UPM Digital Archive (Technical University of Madrid),"FPGA implementation, digital IC / architecture",downloaded_pdf,pdfs/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.pdf,notes/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.md,03_TVLSI
paper_09,High-Throughput Bilinear Pairing Processor for Server-Side FPGA Applications,Junichi Sakamoto; Daisuke Fujimoto; Riku Anzai; N. Yoshida; Tsutomu Matsumoto,2024,TVLSI,https://doi.org/10.1109/tvlsi.2024.3402164,https://ieeexplore.ieee.org/ielx7/92/4359553/10539134.pdf,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"FPGA implementation, digital IC / architecture",downloaded_pdf,pdfs/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.pdf,notes/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.md,03_TVLSI
paper_10,An Energy Efficient Soft SIMD Microarchitecture and Its Application on Quantized CNNs,Pengbo Yu; Flavio Ponzina; Alexandre Levisse; Mohit Gupta; Dwaipayan Biswas; Giovanni Ansaloni; David Atienza; Francky Catthoor,2024,TVLSI,https://doi.org/10.1109/tvlsi.2024.3375793,https://lirias.kuleuven.be/retrieve/457fd8c4-83d4-4b7a-9f05-d181ec08622e,Lirias (KU Leuven),digital IC / architecture,downloaded_pdf,pdfs/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.pdf,notes/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.md,03_TVLSI
