section_id,subsection_id,paragraph_id,sentence_id,sentence_text,sentence_position,dominant_function,secondary_function,previous_sentence_relation,next_sentence_relation,claim_type,claim_strength,evidence_anchor,citation_anchor,figure_table_anchor,technical_terms,hedging_words,risk_words,punctuation_pattern,sentence_skeleton,expected_topvenue_role,mismatch_type,revision_operation
Abstract,,ABSTRACT.P1,ABS.S1,FPGA ring-oscillator true random number generators are commonly evaluated from oscillator-array structure and final output statistics.,1,SETUP,,none,,method,low,None,None,None,FPGA,evaluated,,hyphen_count=2,X ring-oscillator true random number generators are commonly evaluated from oscillator-array structure and final output statistics.,BG,role_mismatch,REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S2,This paper reports a two-board Zynq-7020 {} case study showing that this boundary can be insufficient: sampler-side physical implementation can substantially reshape measured restart behavior.,2,GAP,,jumps,,method,medium,None,None,None,restart;sampler,can,,hyphen_count=3; colon_count=1,X paper reports a two-board X {} case study showing that this boundary can be insufficient: sampler-side physical implementation can substantially reshape measu,PROBLEM,sentence_jump;unsupported_claim;role_mismatch,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S3,"Continuous-stream placement measurements on the primary board expose a large implementation dependence, from a biased placement with $p_1=0.337316$ and bit min-entropy 0.593606 to a near-balanced placement with $p_1=0.499969$ and bit min-entropy 0.999909.",3,SETUP,,elaborates,,method,low,Experiment setup,None,None,entropy,,large,hyphen_count=4; comma_count=1,"X placement measurements on the primary board expose a large implementation dependence, from a biased placement with $p_1=0.337316$ and bit min-entropy 0.593606",GAP,risk_word;role_mismatch,REPLACE_RISK_VERB;REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S4,"Restart measurements then show that continuous-stream balance is not enough: warmup bytes 8 and 10 trigger fixed-position diagnostic flags, while warmup bytes 11, 12, and 16 do not.",4,RESULT,,elaborates,,measurement,medium,Experiment setup,None,None,Restart,,,hyphen_count=2; colon_count=1; comma_count=3,"X measurements then show that continuous-stream balance is not enough: warmup bytes 8 and 10 trigger fixed-position diagnostic flags, while warmup bytes 11, 12,",METHOD,role_mismatch,REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S5,"The central evidence is a bidirectional sampler-side counterfactual on the primary board, plus a repeated second-board check: imposing the restart-oriented sample-RO lock changes a compact sampler configuration toward biased restart behavior on both boards, with board-specific magnitudes.",5,BG,,elaborates,,causal/generalization,low,None,None,None,RO;restart;sampler,,,hyphen_count=5; colon_count=1; comma_count=2,"X central evidence is a bidirectional sampler-side counterfactual on the primary board, plus a repeated second-board check: imposing the restart-oriented sample",SETUP,role_mismatch,REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S6,"On the second board, three-run forward warmup-4 and warmup-5 means are $p_1=0.450792$ and 0.445222, while the reverse compact-lock warmup-4 mean is 0.498300.",6,BG,,elaborates,,descriptive,low,None,None,None,,,,hyphen_count=5; comma_count=2,"X the second board, three-run forward warmup-4 and warmup-5 means are $p_1=0.450792$ and 0.445222, while the reverse compact-lock warmup-4 mean is 0.498300.",RESULT,role_mismatch,REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S7,Pairwise and exact counterfactual {} diagnostics show small phase correlations under the applied screens.,7,RESULT,,jumps,,measurement,medium,None,None,None,,under,small,,X and exact counterfactual {} diagnostics show small phase correlations under the applied screens.,BOUNDARY,sentence_jump;unsupported_claim;risk_word;role_mismatch,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;REPLACE_RISK_VERB;REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S8,"Reduced-XOR, held-out sampler, warmup/aperture, and toolflow controls show that final all64 output can hide biased internal sampler-vector directions: on the second board, moving the sample RO to a held-out physical context changes warmup-10 all64 from $p_1=0.360614$ to 0.500718 while internal contributors remain biased and reorder, and a 12-capture original-vs-Explore matrix separates route-stable bias preservation from route-moving boundary cases.",8,GAP,,jumps,,causal/generalization,medium,None,None,None,RO;sampler,can,,hyphen_count=10; colon_count=1; slash_count=1; comma_count=5,"X, held-out sampler, warmup/aperture, and toolflow controls show that final all64 output can hide biased internal sampler-vector directions: on the second board",BOUNDARY,sentence_jump;unsupported_claim;punctuation_issue;role_mismatch,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;SPLIT_SENTENCE;REFUNCTION_SENTENCE;REORDER_SENTENCE
Abstract,,ABSTRACT.P1,ABS.S9,These measurements support a diagnostic claim rather than a certification claim: sampler-side physical implementation is not passive readout in the evaluated implementations and should be included in the measured entropy-source boundary.,9,RESULT,,elaborates,,method,medium,Experiment setup,None,None,entropy;sampler,evaluated,,hyphen_count=2; colon_count=1,X measurements support a diagnostic claim rather than a certification claim: sampler-side physical implementation is not passive readout in the evaluated implem,BOUNDARY,role_mismatch,REFUNCTION_SENTENCE;REORDER_SENTENCE
Introduction,,INTRODUCTION.P1,INTRODUCTION.P1.S1,"Ring-oscillator true random number generators ( {}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source [Sunar_2007,Fischer_2008,Wold_2009].",1,INTERPRETATION,,none,,descriptive,medium,Citation,"Sunar_2007,Fischer_2008,Wold_2009",None,entropy,can,,hyphen_count=2; parentheses_count=2; comma_count=2,X true random number generators ( {}s) are attractive for X because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an,BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P1,INTRODUCTION.P1.S2,"Their measured behavior, however, is inseparable from implementation.",2,RESULT,,contrasts,,method,none,None,None,None,,,,comma_count=2,"X, however/whereas Y.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
Introduction,,INTRODUCTION.P1,INTRODUCTION.P1.S3,"Placement, routing, clocking, reset sequencing, sampling, and readout can all affect the final bitstream.",3,SETUP,,jumps,,causal/generalization,medium,None,None,None,,can,,comma_count=5,"X, routing, clocking, reset sequencing, sampling, and readout can all affect the final bitstream.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,sentence_jump;unsupported_claim;punctuation_issue,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;SPLIT_SENTENCE
Introduction,,INTRODUCTION.P1,INTRODUCTION.P1.S4,"For an implemented FPGA {}, the measurement problem is therefore not only whether the output stream looks random.",4,NEED,,interprets,,method,low,Experiment setup,None,None,FPGA,,,comma_count=1,"X an implemented X {}, the measurement problem is therefore not only whether the output stream looks random.",BG/PROBLEM/GAP/METHOD/CONTRIBUTION,none,KEEP
