title,year,cites,doi,oa_url,primary_pdf,topic
BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,2023,36,https://doi.org/10.46586/tches.v2023.i4.32-57,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596,Cryptography and Data Security; Cryptographic Implementations and Security; Coding theory and cryptography
A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,2024,33,https://doi.org/10.46586/tches.v2024.i2.130-153,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929,Cryptography and Data Security; Quantum Computing Algorithms and Architecture; Chaos-based Image/Signal Encryption
Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,2023,29,https://doi.org/10.46586/tches.v2023.i2.418-446,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738,Cryptographic Implementations and Security; Security and Verification in Computing; Advanced Malware Detection Techniques
Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,2023,25,https://doi.org/10.46586/tches.v2023.i4.188-210,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Security and Verification in Computing
HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,2024,24,https://doi.org/10.46586/tches.v2024.i3.25-75,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189,Cryptography and Data Security; Cryptographic Implementations and Security; Security and Verification in Computing
Protecting Dilithium against Leakage,2023,24,https://doi.org/10.46586/tches.v2023.i4.58-79,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597,Cryptographic Implementations and Security; Semiconductor materials and devices; Security and Verification in Computing
Deep Learning Side-Channel Collision Attack,2023,23,https://doi.org/10.46586/tches.v2023.i3.422-444,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276,Cryptographic Implementations and Security; Security and Verification in Computing; Physical Unclonable Functions (PUFs) and Hardware Security
RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,2023,22,https://doi.org/10.46586/tches.v2023.i2.543-567,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743,Physical Unclonable Functions (PUFs) and Hardware Security; Electrostatic Discharge in Electronics; Cryptographic Implementations and Security
Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,2023,21,https://doi.org/10.46586/tches.v2023.i2.447-481,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739,Cryptographic Implementations and Security; Chaos-based Image/Signal Encryption; Security and Verification in Computing
Conditional Variational AutoEncoder based on Stochastic Attacks,2023,19,https://doi.org/10.46586/tches.v2023.i2.310-357,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735,Cryptographic Implementations and Security; Chaos-based Image/Signal Encryption; Physical Unclonable Functions (PUFs) and Hardware Security
Low Trace-Count Template Attacks on 32-bit Implementations of ASCON AEAD,2023,17,https://doi.org/10.46586/tches.v2023.i4.344-366,https://tches.iacr.org/index.php/TCHES/article/download/11169/10608,https://tches.iacr.org/index.php/TCHES/article/download/11169/10608,Cryptographic Implementations and Security; Security and Verification in Computing; Advanced Malware Detection Techniques
Quantum Circuit Reconstruction from Power Side-Channel Attacks on Quantum Computer Controllers,2024,16,https://doi.org/10.46586/tches.v2024.i2.735-768,https://tches.iacr.org/index.php/TCHES/article/download/11445/10950,https://tches.iacr.org/index.php/TCHES/article/download/11445/10950,Advancements in Semiconductor Devices and Circuit Design; Physical Unclonable Functions (PUFs) and Hardware Security; Radiation Effects in Electronics
Peek into the Black-Box: Interpretable Neural Network using SAT Equations in Side-Channel Analysis,2023,16,https://doi.org/10.46586/tches.v2023.i2.24-53,https://tches.iacr.org/index.php/TCHES/article/download/10276/9724,https://tches.iacr.org/index.php/TCHES/article/download/10276/9724,Cryptographic Implementations and Security; Digital Media Forensic Detection; Physical Unclonable Functions (PUFs) and Hardware Security
Cache-Timing Attack Against HQC,2023,14,https://doi.org/10.46586/tches.v2023.i3.136-163,https://tches.iacr.org/index.php/TCHES/article/download/10959/10266,https://tches.iacr.org/index.php/TCHES/article/download/10959/10266,Security and Verification in Computing; Cryptographic Implementations and Security; Semiconductor materials and devices
Belief Propagation Meets Lattice Reduction: Security Estimates for Error-Tolerant Key Recovery from Decryption Errors,2023,13,https://doi.org/10.46586/tches.v2023.i4.287-317,https://tches.iacr.org/index.php/TCHES/article/download/11167/10606,https://tches.iacr.org/index.php/TCHES/article/download/11167/10606,Cryptographic Implementations and Security; Radiation Effects in Electronics; Physical Unclonable Functions (PUFs) and Hardware Security
SEV-Step A Single-Stepping Framework for AMD-SEV,2023,12,https://doi.org/10.46586/tches.v2024.i1.180-206,https://tches.iacr.org/index.php/TCHES/article/download/11250/10792,https://tches.iacr.org/index.php/TCHES/article/download/11250/10792,Security and Verification in Computing; Semiconductor materials and devices; Diamond and Carbon-based Materials Research
FalconSign: An Efficient and High-Throughput Hardware Architecture for Falcon Signature Generation,2024,11,https://doi.org/10.46586/tches.v2025.i1.203-226,https://tches.iacr.org/index.php/TCHES/article/download/11927/11786,https://tches.iacr.org/index.php/TCHES/article/download/11927/11786,Parallel Computing and Optimization Techniques; Distributed systems and fault tolerance; Security and Verification in Computing
Silicon Echoes: Non-Invasive Trojan and Tamper Detection using Frequency-Selective Impedance Analysis,2023,11,https://doi.org/10.46586/tches.v2023.i4.238-261,https://tches.iacr.org/index.php/TCHES/article/download/11165/10604,https://tches.iacr.org/index.php/TCHES/article/download/11165/10604,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; Electrostatic Discharge in Electronics
Loop Aborts Strike Back: Defeating Fault Countermeasures in Lattice Signatures with ILP,2023,11,https://doi.org/10.46586/tches.v2023.i4.367-392,https://tches.iacr.org/index.php/TCHES/article/download/11170/10609,https://tches.iacr.org/index.php/TCHES/article/download/11170/10609,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security
Enabling FrodoKEM on Embedded Devices,2023,11,https://doi.org/10.46586/tches.v2023.i3.74-96,https://tches.iacr.org/index.php/TCHES/article/download/10957/10264,https://tches.iacr.org/index.php/TCHES/article/download/10957/10264,Advanced Memory and Neural Computing; Semiconductor materials and devices; Cryptographic Implementations and Security
High-order masking of NTRU,2023,11,https://doi.org/10.46586/tches.v2023.i2.180-211,https://tches.iacr.org/index.php/TCHES/article/download/10281/9729,https://tches.iacr.org/index.php/TCHES/article/download/10281/9729,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Chaos-based Image/Signal Encryption
Optimized Hardware-Software Co-Design for Kyber and Dilithium on RISC-V SoC FPGA,2024,11,https://doi.org/10.46586/tches.v2024.i3.99-135,https://tches.iacr.org/index.php/TCHES/article/download/11671/11191,https://tches.iacr.org/index.php/TCHES/article/download/11671/11191,Cryptography and Data Security; Coding theory and cryptography; Cryptographic Implementations and Security
Thunderbird: Efficient Homomorphic Evaluation of Symmetric Ciphers in 3GPP by combining two modes of TFHE,2024,10,https://doi.org/10.46586/tches.v2024.i3.530-573,https://tches.iacr.org/index.php/TCHES/article/download/11687/11207,https://tches.iacr.org/index.php/TCHES/article/download/11687/11207,Cryptography and Data Security; Cryptographic Implementations and Security; Coding theory and cryptography
Threshold Implementations in Software: Micro-architectural Leakages in Algorithms,2023,10,https://doi.org/10.46586/tches.v2023.i2.155-179,https://tches.iacr.org/index.php/TCHES/article/download/10280/9728,https://tches.iacr.org/index.php/TCHES/article/download/10280/9728,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Chaos-based Image/Signal Encryption
Nibbling MAYO: Optimized Implementations for AVX2 and Cortex-M4,2024,10,https://doi.org/10.46586/tches.v2024.i2.252-275,https://tches.iacr.org/index.php/TCHES/article/download/11427/10933,https://tches.iacr.org/index.php/TCHES/article/download/11427/10933,CCD and CMOS Imaging Sensors; Advanced Memory and Neural Computing
CalyPSO: An Enhanced Search Optimization based Framework to Model Delay-based PUFs,2023,9,https://doi.org/10.46586/tches.v2024.i1.501-526,https://tches.iacr.org/index.php/TCHES/article/download/11260/10802,https://tches.iacr.org/index.php/TCHES/article/download/11260/10802,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; Advanced Memory and Neural Computing
Generalized Power Attacks against Crypto Hardware using Long-Range Deep Learning,2024,9,https://doi.org/10.46586/tches.v2024.i3.472-499,https://tches.iacr.org/index.php/TCHES/article/download/11685/11205,https://tches.iacr.org/index.php/TCHES/article/download/11685/11205,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Chaos-based Image/Signal Encryption
Formally verifying Kyber,2023,9,https://doi.org/10.46586/tches.v2023.i3.164-193,https://tches.iacr.org/index.php/TCHES/article/download/10960/10267,https://tches.iacr.org/index.php/TCHES/article/download/10960/10267,Cryptographic Implementations and Security; Cryptography and Data Security; Security and Verification in Computing
1LUTSensor: Detecting FPGA Voltage Fluctuations using LookUp Tables,2023,8,https://doi.org/10.46586/tches.v2024.i1.51-86,https://tches.iacr.org/index.php/TCHES/article/download/11240/10785,https://tches.iacr.org/index.php/TCHES/article/download/11240/10785,Physical Unclonable Functions (PUFs) and Hardware Security; Cryptographic Implementations and Security; Quantum-Dot Cellular Automata
Efficient Regression-Based Linear Discriminant Analysis for Side-Channel Security Evaluations,2023,8,https://doi.org/10.46586/tches.v2023.i3.270-293,https://tches.iacr.org/index.php/TCHES/article/download/10964/10271,https://tches.iacr.org/index.php/TCHES/article/download/10964/10271,Cryptographic Implementations and Security; Advanced Malware Detection Techniques; Physical Unclonable Functions (PUFs) and Hardware Security
Who Watches the Watchers: Attacking Glitch Detection Circuits,2023,8,https://doi.org/10.46586/tches.v2024.i1.157-179,https://tches.iacr.org/index.php/TCHES/article/download/11249/10791,https://tches.iacr.org/index.php/TCHES/article/download/11249/10791,Physical Unclonable Functions (PUFs) and Hardware Security; Cryptographic Implementations and Security; Security and Verification in Computing
