bib_key,entry_type,year,title,venue_or_source,doi,is_cited,citation_lines,reference_role,usage_context,quality_check,recommendation
Sunar_2007,article,2007,A Provably Secure True Random Number Generator with Built-In Tolerance to Active Attacks,IEEE Transactions on Computers,10.1109/TC.2007.250627,yes,57;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Fischer_2008,inproceedings,2008,Enhancing Security of Ring Oscillator-Based TRNG Implemented in FPGA,2008 International Conference on Field Programmable Logic and Applications,10.1109/FPL.2008.4629939,yes,57;85;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Bochard_2009,inproceedings,2009,Observing the Randomness in RO-Based TRNG,2009 International Conference on Reconfigurable Computing and FPGAs,10.1109/ReConFig.2009.57,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Wold_2009,article,2009,Analysis and Enhancement of Random Number Generator in FPGA Based on Oscillator Rings,International Journal of Reconfigurable Computing,10.1155/2009/501672,yes,57;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Bochard_2010,article,2010,True-Randomness and Pseudo-Randomness in Ring Oscillator-Based True Random Number Generators,International Journal of Reconfigurable Computing,10.1155/2010/879281,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Baudet_2011,article,2011,On the Security of Oscillator-Based Random Number Generators,Journal of Cryptology,10.1007/s00145-010-9089-3,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Nannipieri_2021,article,2021,True Random Number Generator Based on Fibonacci-Galois Ring Oscillators for FPGA,Applied Sciences,10.3390/app11083330,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
Sato_2021,article,2021,Consideration for Affects of an XOR in a Random Number Generator Using Ring Oscillators,Entropy,10.3390/e23091168,yes,484,recent TRNG/FPGA architecture context,"The reduced-XOR experiment provides a second mechanism layer, motivated by prior caution that XOR combining can reshape the observable behavior of RO-based random-number generators \cite{Sato_2021}. Figure~\ref{fig:reducedxorconstruct} shows the construction. Let $s_{r,k}$ denote the sampled bit for data RO $r\in\{0,\ldots,7\}$ at sampler phase $k\in\{0,\ldo",ok,keep; verify each citation sentence states the specific role
RojasMunoz_2022,article,2022,True Random Number Generation Capability of a Ring Oscillator PUF for Reconfigurable Devices,Electronics,10.3390/electronics11234028,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
Frustaci_2023,article,2023,A High-Speed FPGA-Based True Random Number Generator Using Metastability With Clock Managers,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/TCSII.2022.3211278,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
