id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,Quanli Deng; Chunhua Wang; Yichuang Sun; Zekun Deng; Gang Yang,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3439869,https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf,direct_pdf,FPGA implementation,downloaded_pdf,pdfs/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.pdf,notes/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.md,01_TCASI
paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",Yao Wang; Guangyang Zhang; Xue Mei; Chongyan Gu,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3466972,https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf,direct_pdf,Integrated Circuits and Semiconductor Failure Analysis; Physical Unclonable Functions (PUFs) and Hardware Security; CCD and CMOS Imaging Sensors,downloaded_pdf,pdfs/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.pdf,notes/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.md,01_TCASI
paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,Luca Valente; Alessandro Nadalini; Asif Veeran; M. Sinigaglia; Bruno Sá; Nils Wistoff,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3359044,https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.pdf,notes/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.md,01_TCASI
paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,Hsiao-Hsuan Liu; Carlo Gilardi; Shairfe Muhammad Salahuddin; Zhenlin Pei; P. Schuddinck; Yang Xiang,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3410518,https://lirias.kuleuven.be/retrieve/913275b5-a108-48a9-b523-7f949cafecb4,direct_pdf,memory / CIM,downloaded_pdf,pdfs/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.pdf,notes/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.md,01_TCASI
paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,Léopold Van Brandt; Michele Bonnin; Maurício Banaszeski da Silva; P. Bolcato; Gilson Wirth; Denis Flandre,2025,TCAS-I,https://doi.org/10.1109/tcsi.2024.3525387,https://research.dial.uclouvain.be/server/api/core/bitstreams/199313d2-4e0e-474b-8768-b03016c60195/content,html_discovered_pdf,memory / CIM,downloaded_pdf,pdfs/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.pdf,notes/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.md,01_TCASI
paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,Dian Tian; Ningmei Yu; Minghui Xie; Jiahao Tang; Zhuang Feng; Álvaro Hernández,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3368102,https://ebuah.uah.es/dspace/bitstream/handle/10017/62156/Low_Tian_IEEETransCirSysI_2024%20(1).pdf?sequence=4,html_discovered_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.pdf,notes/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.md,01_TCASI
paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,Abdullah Alhassani; Mohammed Benaissa,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3427011,https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf,direct_pdf,"digital IC / architecture, cryptographic hardware",downloaded_pdf,pdfs/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.pdf,notes/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.md,01_TCASI
paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,C.-Y. Hsu; Tian‐Sheuan Chang,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3349581,https://arxiv.org/pdf/2503.20245,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.pdf,notes/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.md,01_TCASI
paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,E. Ronconi; F. Garzetti; N. Lusardi; A. Costa; A. Geraci,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3404034,https://re.public.polimi.it/bitstream/11311/1267062/1/Hybrid_Spatial_and_Temporal_Computing_Histogramer_in_Soft_Processor_Core_of_a_FPGA_Device.pdf,direct_pdf,"FPGA implementation, digital IC / architecture",downloaded_pdf,pdfs/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.pdf,notes/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.md,01_TCASI
paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",Jonah Van Assche; Charlotte Frenkel; Ali Safa; Georges Gielen,2024,TCAS-I,https://doi.org/10.1109/tcsi.2024.3504264,https://lirias.kuleuven.be/retrieve/79271a63-05dd-497e-842c-4dac4d71a658,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.pdf,notes/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.md,01_TCASI
