id,venue,year,title,title_pattern,section_order,method_role,experiment_role,figure_roles,table_roles,limitation_style,conclusion_style,local_pdf,local_note
paper_01,TCAS-I,2024,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,platform/object explicit,Abstract > Implementation > Results > Model > Design > Method > Analysis > Security > Limitations,method/workflow explanation,security evaluation,illustration ; illustration ; dataflow ; mechanism|result|ablation/control ; mechanism ; mechanism ; illustration ; system overview|architecture|workflow,setup/parameter ; setup/parameter,explicit limitations section,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.pdf,01_TCASI/notes/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.md
paper_02,TCAS-I,2024,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",platform/object explicit,Abstract > Implementation > Model > Results > Security > Architecture > Background > Method > Related Work > Design > Analysis,architecture/design explanation,security evaluation,mechanism ; illustration ; system overview ; illustration ; mechanism ; illustration ; workflow|mechanism ; mechanism,not detected in extracted pages,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.pdf,01_TCASI/notes/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.md
paper_03,TCAS-I,2024,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,platform/object explicit,Abstract > Security > Architecture > Design > Implementation > Model,architecture/design explanation,measurement-driven evidence,system overview|architecture ; illustration ; illustration ; illustration ; architecture|dataflow|ablation/control ; workflow ; dataflow|result ; result,architecture|dataflow|result|sota comparison ; setup/parameter ; mechanism|result ; architecture,explicit limitations section,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.pdf,01_TCASI/notes/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.md
paper_04,TCAS-I,2024,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,name/acronym + descriptive subtitle,Abstract > Design > Results > Analysis > Introduction > Architecture > Model > Discussion > Conclusion > Method > Evaluation,architecture/design explanation,benchmark/SOTA comparison,architecture ; architecture ; architecture ; architecture|result|ablation/control|sota comparison ; architecture ; architecture ; architecture ; architecture|mechanism,architecture ; architecture ; setup/parameter ; architecture ; architecture,implicit limitation in discussion/conclusion,bounded-implication conclusion,01_TCASI/pdfs/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.pdf,01_TCASI/notes/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.md
paper_05,TCAS-I,2025,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,object-method title,Model > Abstract > Method > Architecture > Design > Analysis > Implementation > Conclusion,architecture/design explanation,simulation evaluation,limitation/traceability ; illustration ; illustration ; illustration ; illustration ; system overview ; illustration ; illustration,not detected in extracted pages,implicit limitation in discussion/conclusion,result-summary conclusion,01_TCASI/pdfs/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.pdf,01_TCASI/notes/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.md
paper_06,TCAS-I,2024,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,metric-modifier title,Abstract > Architecture > Method > Design > Conclusion > Analysis > Evaluation > Results > Implementation > Related Work,architecture/design explanation,benchmark/SOTA comparison,architecture|workflow|mechanism ; mechanism ; ablation/control ; illustration ; architecture ; result ; illustration ; illustration,setup/parameter ; result ; workflow|result|ablation/control|sota comparison ; architecture ; architecture|workflow|mechanism|result ; timing ; architecture|workflow|result ; architecture|mechanism,implicit limitation in discussion/conclusion,claim-restatement conclusion,01_TCASI/pdfs/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.pdf,01_TCASI/notes/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.md
paper_07,TCAS-I,2024,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,metric-modifier title|platform/object explicit,Abstract > Results > Introduction > Implementation > Method > Architecture > Security > Conclusion > Background > Design > Related Work,architecture/design explanation,security evaluation,illustration ; architecture|result ; architecture|dataflow ; architecture|mechanism|result,architecture ; setup/parameter,implicit limitation in discussion/conclusion,result-summary conclusion,01_TCASI/pdfs/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.pdf,01_TCASI/notes/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.md
paper_08,TCAS-I,2024,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,name/acronym + descriptive subtitle|numeric-performance title|platform/object explicit,Abstract > Method > Design > Model > Results > Implementation > Architecture > Analysis > Evaluation,architecture/design explanation,benchmark/SOTA comparison,result ; architecture ; illustration ; architecture ; architecture ; dataflow|ablation/control|sota comparison ; workflow|dataflow ; architecture|dataflow,workflow|dataflow|ablation/control ; workflow|result|limitation/traceability ; ablation/control|sota comparison|limitation/traceability ; setup/parameter ; result ; ablation/control|sota comparison ; ablation/control|sota comparison ; ablation/control|sota comparison,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.pdf,01_TCASI/notes/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.md
paper_09,TCAS-I,2024,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,platform/object explicit,Abstract > Method > Architecture > Design > Implementation > Model,architecture/design explanation,benchmark/SOTA comparison,timing ; illustration ; workflow|timing|dataflow|mechanism ; architecture ; result ; timing ; result ; illustration,workflow|mechanism ; architecture|ablation/control|sota comparison ; setup/parameter ; setup/parameter ; setup/parameter ; setup/parameter ; setup/parameter,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.pdf,01_TCASI/notes/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.md
paper_10,TCAS-I,2024,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",name/acronym + descriptive subtitle|numeric-performance title|platform/object explicit,Abstract > Results > Limitations > Model > Design > Implementation > Architecture > Method,architecture/design explanation,measurement-driven evidence,system overview|architecture ; system overview|timing|result ; timing ; architecture ; architecture ; timing ; architecture|result ; result,setup/parameter,explicit limitations section,conclusion not detected in extracted pages,01_TCASI/pdfs/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.pdf,01_TCASI/notes/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.md
paper_01,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,platform/object explicit,Abstract > Background > Implementation > Method > Architecture > Results > Design > Analysis,architecture/design explanation,implementation result evaluation,workflow ; illustration ; architecture|workflow,setup/parameter ; setup/parameter ; setup/parameter,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.pdf,02_TCASII/notes/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.md
paper_02,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,numeric-performance title,Abstract > Method > Results > Implementation > Architecture > Design > Limitations,architecture/design explanation,implementation result evaluation,dataflow ; illustration ; result ; illustration,setup/parameter ; setup/parameter,explicit limitations section,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.pdf,02_TCASII/notes/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.md
paper_03,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,numeric-performance title,Abstract > Design > Background > Results,implicit or mixed method section,benchmark/SOTA comparison,result ; ablation/control|sota comparison ; architecture|ablation/control ; mechanism ; architecture|ablation/control|sota comparison ; system overview|timing ; result ; mechanism|result,setup/parameter ; architecture ; result,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.pdf,02_TCASII/notes/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.md
paper_04,IEEE Transactions on Circuits and Systems II: Express Briefs,2025,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,object-method title,Abstract > Method > Design > Background > Security > Analysis > Motivation > Results > Evaluation,method/workflow explanation,security evaluation,illustration ; architecture|result ; system overview|architecture|result,architecture|result ; result,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.pdf,02_TCASII/notes/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.md
paper_05,IEEE Transactions on Circuits and Systems II: Express Briefs,2024,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,name/acronym + descriptive subtitle,Abstract > Design > Architecture > Model > Background > Implementation > Method > Evaluation > Experimental Setup > Results,architecture/design explanation,benchmark/SOTA comparison,system overview|architecture|mechanism ; illustration ; architecture ; architecture,system overview|workflow ; architecture|mechanism|result ; architecture|result|sota comparison ; result ; architecture|result|sota comparison,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.pdf,02_TCASII/notes/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.md
paper_06,IEEE Transactions on Circuits and Systems II: Express Briefs,2025,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,metric-modifier title|platform/object explicit,Abstract > Design > Architecture > Background > Results,architecture/design explanation,benchmark/SOTA comparison,architecture|mechanism ; architecture|dataflow ; illustration ; result ; workflow|dataflow|ablation/control|sota comparison,architecture|result,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.pdf,02_TCASII/notes/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.md
paper_07,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,object-method title,Design > Results > Method > Abstract > Architecture > Evaluation > Model,architecture/design explanation,simulation evaluation,architecture ; architecture ; architecture,not detected in extracted pages,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.pdf,02_TCASII/notes/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.md
paper_08,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,object-method title,Abstract > Analysis > Architecture > Method > Design > Results,architecture/design explanation,simulation evaluation,illustration ; result ; illustration ; result ; illustration ; dataflow ; architecture|dataflow|result,setup/parameter ; setup/parameter ; architecture|result ; result,bounded claim caveat,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.pdf,02_TCASII/notes/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.md
paper_09,IEEE Transactions on Circuits and Systems II: Express Briefs,2023,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,object-method title,Abstract > Results > Design > Model > Evaluation > Background > Architecture > Experimental Setup > Method,architecture/design explanation,measurement-driven evidence,system overview|ablation/control|sota comparison ; illustration ; illustration ; illustration ; architecture|dataflow ; dataflow ; illustration ; architecture|result|ablation/control,architecture ; architecture,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,02_TCASII/pdfs/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.pdf,02_TCASII/notes/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.md
paper_10,IEEE Transactions on Circuits and Systems II: Express Briefs,2024,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,metric-modifier title|platform/object explicit,Abstract > Architecture > Conclusion > Method > Background > Implementation > Results,architecture/design explanation,implementation result evaluation,illustration ; illustration ; architecture ; architecture,result ; architecture|timing|result ; result,implicit limitation in discussion/conclusion,result-summary conclusion,02_TCASII/pdfs/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.pdf,02_TCASII/notes/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.md
paper_01,TVLSI,2026,ReLANCE: A Resource-Efficient Low-Latency Cortical Neural Acceleration Engine,name/acronym + descriptive subtitle|metric-modifier title,Abstract > Model > Design > Results > Implementation > Evaluation > Architecture > Analysis,architecture/design explanation,implementation result evaluation,system overview|architecture ; illustration ; result ; system overview|timing|dataflow,setup/parameter,future-work bounded limitation,conclusion not detected in extracted pages,03_TVLSI/pdfs/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.pdf,03_TVLSI/notes/2026_TVLSI_relance_a_resource_efficient_low_latency_cortical_neural_acceleration_engine.md
paper_02,TVLSI,2025,Unlimited Vector Processing for Wireless Baseband Based on RISC-V Extension,platform/object explicit,Abstract > Architecture > Implementation > Conclusion > Background > Design > Limitations > Model > Future Work > Results,architecture/design explanation,benchmark/SOTA comparison,illustration ; illustration ; workflow|dataflow ; illustration ; architecture ; timing|result|ablation/control|sota comparison ; result|ablation/control|sota comparison ; result,setup/parameter ; setup/parameter ; setup/parameter,explicit limitations section,result-summary conclusion,03_TVLSI/pdfs/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.pdf,03_TVLSI/notes/2025_TVLSI_unlimited_vector_processing_for_wireless_baseband_based_on_risc_v_extension.md
paper_03,TVLSI,2025,A 66-Gb/s/5.5-W RISC-V Many-Core Cluster for 5G+ Software-Defined Radio Uplinks,numeric-performance title|platform/object explicit,Abstract > Design > Architecture > Implementation > Model > Results > Analysis,architecture/design explanation,implementation result evaluation,architecture ; architecture|result ; illustration ; illustration ; illustration ; illustration ; illustration ; illustration,result ; result ; setup/parameter ; setup/parameter,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,03_TVLSI/pdfs/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.pdf,03_TVLSI/notes/2025_TVLSI_a_66_gb_s_5_5_w_risc_v_many_core_cluster_for_5g_software_defined_radio_uplinks.md
paper_04,TVLSI,2025,A Scalable FPGA Architecture With Adaptive Memory Utilization for GEMM-Based Operations,platform/object explicit,Architecture > Abstract > Model > Design > Limitations,architecture/design explanation,implementation result evaluation,architecture ; workflow|timing|result ; workflow|dataflow ; mechanism ; dataflow|mechanism ; architecture,architecture,explicit limitations section,conclusion not detected in extracted pages,03_TVLSI/pdfs/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.pdf,03_TVLSI/notes/2025_TVLSI_a_scalable_fpga_architecture_with_adaptive_memory_utilization_for_gemm_based_ope.md
paper_05,TVLSI,2025,Strassen Multisystolic Array Hardware Architectures,platform/object explicit,Abstract > Architecture > Design > Background > Implementation > Results > Model > Analysis,architecture/design explanation,implementation result evaluation,architecture|dataflow ; dataflow ; architecture ; illustration ; architecture ; illustration ; system overview|architecture|workflow ; architecture,system overview|architecture ; setup/parameter ; system overview|architecture ; system overview|architecture|result ; system overview|architecture|dataflow ; architecture ; setup/parameter ; architecture,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,03_TVLSI/pdfs/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.pdf,03_TVLSI/notes/2025_TVLSI_strassen_multisystolic_array_hardware_architectures.md
paper_06,TVLSI,2025,CapsBeam: Accelerating Capsule Network-Based Beamformer for Ultrasound Nonsteered Plane-Wave Imaging on Field-Programmable Gate Array,name/acronym + descriptive subtitle,Abstract > Model > Implementation > Design > Architecture > Evaluation > Background > Method > Results > Security,architecture/design explanation,benchmark/SOTA comparison,system overview|result ; illustration ; workflow|mechanism ; architecture|mechanism|result ; architecture|ablation/control|sota comparison ; architecture|workflow ; illustration ; illustration,result ; setup/parameter ; ablation/control|sota comparison,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,03_TVLSI/pdfs/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.pdf,03_TVLSI/notes/2025_TVLSI_capsbeam_accelerating_capsule_network_based_beamformer_for_ultrasound_nonsteered.md
paper_07,TVLSI,2024,SPEED: A Scalable RISC-V Vector Processor Enabling Efficient Multiprecision DNN Inference,name/acronym + descriptive subtitle|metric-modifier title|platform/object explicit,Abstract > Architecture > Method > Design > Limitations > Model > Results > Experimental Setup > Evaluation > Analysis,architecture/design explanation,benchmark/SOTA comparison,illustration ; architecture|timing|dataflow ; architecture|dataflow|ablation/control|sota comparison ; architecture|workflow ; workflow ; architecture ; workflow|dataflow ; illustration,dataflow|result ; result ; setup/parameter ; system overview|result,explicit limitations section,conclusion not detected in extracted pages,03_TVLSI/pdfs/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.pdf,03_TVLSI/notes/2024_TVLSI_speed_a_scalable_risc_v_vector_processor_enabling_efficient_multiprecision_dnn_i.md
paper_08,TVLSI,2024,Detect and Replace: Efficient Soft Error Protection of FPGA-Based CNN Accelerators,name/acronym + descriptive subtitle|metric-modifier title|platform/object explicit,Abstract > Model > Results > Introduction > Evaluation > Architecture > Implementation > Conclusion > Analysis > Design,architecture/design explanation,implementation result evaluation,architecture ; illustration ; result ; mechanism,mechanism|result ; result,implicit limitation in discussion/conclusion,claim-restatement conclusion,03_TVLSI/pdfs/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.pdf,03_TVLSI/notes/2024_TVLSI_detect_and_replace_efficient_soft_error_protection_of_fpga_based_cnn_accelerator.md
paper_09,TVLSI,2024,High-Throughput Bilinear Pairing Processor for Server-Side FPGA Applications,metric-modifier title|platform/object explicit,Abstract > Implementation > Design > Evaluation > Architecture > Method > Preliminaries > Background > Security > Results,architecture/design explanation,security evaluation,dataflow|result ; result ; architecture ; illustration ; architecture|workflow|ablation/control ; system overview|mechanism|ablation/control ; system overview ; system overview|mechanism|result,setup/parameter ; setup/parameter ; setup/parameter ; setup/parameter ; setup/parameter,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,03_TVLSI/pdfs/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.pdf,03_TVLSI/notes/2024_TVLSI_high_throughput_bilinear_pairing_processor_for_server_side_fpga_applications.md
paper_10,TVLSI,2024,An Energy Efficient Soft SIMD Microarchitecture and Its Application on Quantized CNNs,metric-modifier title,Abstract > Architecture > Model > Introduction > Conclusion > Method > Background > Design > Related Work > Results > Experimental Setup > Implementation > Limitations > Evaluation,architecture/design explanation,benchmark/SOTA comparison,illustration ; architecture ; illustration ; workflow ; illustration ; illustration ; illustration ; sota comparison,architecture ; architecture|dataflow ; architecture|dataflow ; result ; setup/parameter ; architecture ; architecture|result ; result|sota comparison,explicit limitations section,result-summary conclusion,03_TVLSI/pdfs/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.pdf,03_TVLSI/notes/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.md
paper_01,TC,2023,Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,metric-modifier title|platform/object explicit,Future Work > Background > Model > Architecture > Related Work > Implementation > Design > Method > Analysis > Abstract > Motivation > Results,architecture/design explanation,benchmark/SOTA comparison,illustration ; mechanism ; illustration ; illustration ; illustration ; illustration ; ablation/control|sota comparison ; architecture,architecture|result|ablation/control|sota comparison ; architecture|mechanism|result ; workflow,future-work bounded limitation,conclusion not detected in extracted pages,04_TC/pdfs/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.pdf,04_TC/notes/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.md
paper_02,TC,2024,Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,name/acronym + descriptive subtitle|numeric-performance title|metric-modifier title,Abstract > Design > Architecture > Introduction > Evaluation > Implementation > Results > Analysis > Model,architecture/design explanation,measurement-driven evidence,dataflow|ablation/control|sota comparison ; system overview|dataflow ; dataflow|result ; system overview|dataflow|result ; system overview|result ; system overview|result|ablation/control|sota comparison ; system overview|result|limitation/traceability ; architecture|result,system overview|architecture ; architecture|result|sota comparison ; architecture|result ; architecture|result,explicit limitations section,conclusion not detected in extracted pages,04_TC/pdfs/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.pdf,04_TC/notes/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.md
paper_03,TC,2023,DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,name/acronym + descriptive subtitle|numeric-performance title|platform/object explicit,Abstract > Architecture > Limitations > Design > Implementation > Results > Model > Conclusion > Method,architecture/design explanation,benchmark/SOTA comparison,architecture|dataflow ; illustration ; dataflow ; illustration ; dataflow ; dataflow ; architecture|dataflow ; dataflow,setup/parameter ; timing ; result|sota comparison,explicit limitations section,claim-restatement conclusion,04_TC/pdfs/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.pdf,04_TC/notes/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.md
paper_04,TC,2023,Co-Design of Approximate Multilayer Perceptron for Ultra-Resource Constrained Printed Circuits,object-method title,Design > Model > Evaluation > Implementation > Architecture > Abstract > Analysis > Results > Method,architecture/design explanation,benchmark/SOTA comparison,system overview ; result ; architecture|result ; system overview|architecture|result ; result|sota comparison ; mechanism|result ; workflow|result ; architecture|result|sota comparison,setup/parameter ; result ; architecture,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,04_TC/pdfs/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.pdf,04_TC/notes/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.md
