paper_id,venue,section_type,paragraph_index,sentence_index,sentence_text,sentence_function,sentence_skeleton,claim_type,claim_strength,has_citation,has_number,has_figure_reference,has_table_reference,hedging_pattern,punctuation_pattern,transition_pattern
01_TCASI:paper_01,TCAS-I,Abstract,,1,"—Memristors, with their unique nonlinear characteristics, are highly suitable for construction novel neural models with rich dynamic behaviors.",BG,"—X, with their unique nonlinear characteristics, are highly suitable for construction novel neural models with rich dynamic behaviors.",method,high,False,False,False,False,,em_dash_count=1; comma_count=2,BG
01_TCASI:paper_01,TCAS-I,Abstract,,2,"In this paper, a memristor with piecewise nonlinear state function is introduced into the tabu learning neuron model, resulting in a novel memristive tabu learning neuron model capable of generating a doublewing chaotic butterfly.",METHOD,"X this paper, a memristor with piecewise nonlinear state function is introduced into the tabu learning neuron model, resulting in a novel memristive tabu learni",measurement,high,False,False,False,False,,comma_count=2,TASK/METHOD
01_TCASI:paper_01,TCAS-I,Abstract,,3,"By modulating the state function of the memristor, we can effectively and easily alter the number of wings of the chaotic butterfly.",INTERPRET,"X modulating the state function of the memristor, we can effectively and easily alter the number of wings of the chaotic butterfly.",descriptive,medium,False,False,False,False,can,comma_count=1,SUPPORT/INTERPRET
01_TCASI:paper_01,TCAS-I,Abstract,,4,Equilibrium points analysis further elucidates the mechanism behind the generation of multiwing chaos.,INTERPRET,X points analysis further elucidates the mechanism behind the generation of multiwing chaos.,descriptive,low,False,False,False,False,,,SUPPORT/INTERPRET
01_TCASI:paper_01,TCAS-I,Abstract,,5,"Various numerical simulation techniques, including phase portraits, bifurcation diagrams, Lyapunov exponent spectra, and local attraction basins, are employed to illustrate the dynamical behaviors of the proposed model.",SETUP,"X numerical simulation techniques, including phase portraits, bifurcation diagrams, X exponent spectra, and local attraction basins, are employed to illustrate ",method,low,False,False,False,False,,comma_count=5,METHOD/SETUP
01_TCASI:paper_01,TCAS-I,Abstract,,6,"Moreover, the newly constructed neuron model is validated using FPGA hardware, with the results aligning with numerical simulations, thereby offering a dependable foundation for a memristor digital circuitbased brain-like neuron model.",SETUP,"X, the newly constructed neuron model is validated using X hardware, with the results aligning with numerical simulations, thereby offering a dependable foundat",method,low,False,False,False,False,,hyphen_count=1; comma_count=3,METHOD/SETUP
01_TCASI:paper_01,TCAS-I,Abstract,,7,"Lastly, an image encryption application based on the multi-wing chaotic butterfly is developed to demonstrate the potential application of the model.",RESULT,"X, an image encryption application based on the multi-wing chaotic butterfly is developed to demonstrate the potential application of the model.",causal/generalization,high,False,False,False,False,,hyphen_count=1; comma_count=1,RESULT/INTERPRET
01_TCASI:paper_01,TCAS-I,Introduction,,1,INVESTIGATING the dynamical behaviors of neural networks can guide us in exploring more appropriate control strategies to achieve neural dynamics in the artificial neural networks.,RESULT,X the dynamical behaviors of neural networks can guide us in exploring more appropriate control strategies to achieve neural dynamics in the artificial neural n,descriptive,medium,False,False,False,False,can,,RESULT/INTERPRET
01_TCASI:paper_01,TCAS-I,Introduction,,2,The recurrent neural network proposed by J.,BG,X recurrent neural network proposed by X.,method,none,False,False,False,False,,,BG/CONTEXT
01_TCASI:paper_01,TCAS-I,Introduction,,3,"Hopfield in 1984 [1], has received extensive attention not only because of its engineering applications in optimization problems [2] and content-address memory [3], but also because it can revel some dynamical behaviors of the human brain [4]–[6].",BG,"X in 1984 [1], has received extensive attention not only because of its engineering applications in optimization problems [2] and content-address memory [3], bu",descriptive,medium,True,True,False,False,can,hyphen_count=1; en_dash_count=1; comma_count=2,BG/CONTEXT
