doi,venue_group,year,title,source_type,status,url,notes
10.1109/tcsi.2016.2555248,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,google_scholar,search_url_only,https://scholar.google.com/scholar?q=%22Lightweight%20TRNG%20Based%20on%20Multiphase%20Timing%20of%20Bistables%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2016.2555248,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,researchgate,search_url_only,https://www.researchgate.net/search/publication?q=%22Lightweight%20TRNG%20Based%20on%20Multiphase%20Timing%20of%20Bistables%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2016.2555248,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,internet_archive_scholar,search_url_only,https://scholar.archive.org/search?q=%22Lightweight%20TRNG%20Based%20on%20Multiphase%20Timing%20of%20Bistables%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2016.2555248,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,dblp,search_url_only,https://dblp.org/search?q=%22Lightweight%20TRNG%20Based%20on%20Multiphase%20Timing%20of%20Bistables%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2016.2555248,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,semantic_scholar,search_url_only,https://www.semanticscholar.org/search?q=%22Lightweight%20TRNG%20Based%20on%20Multiphase%20Timing%20of%20Bistables%22&sort=relevance,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,google_scholar,search_url_only,https://scholar.google.com/scholar?q=%22High-Throughput%20Portable%20True%20Random%20Number%20Generator%20Based%20on%20Jitter-Latch%20Structure%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,researchgate,search_url_only,https://www.researchgate.net/search/publication?q=%22High-Throughput%20Portable%20True%20Random%20Number%20Generator%20Based%20on%20Jitter-Latch%20Structure%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,internet_archive_scholar,search_url_only,https://scholar.archive.org/search?q=%22High-Throughput%20Portable%20True%20Random%20Number%20Generator%20Based%20on%20Jitter-Latch%20Structure%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,dblp,search_url_only,https://dblp.org/search?q=%22High-Throughput%20Portable%20True%20Random%20Number%20Generator%20Based%20on%20Jitter-Latch%20Structure%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,semantic_scholar,search_url_only,https://www.semanticscholar.org/search?q=%22High-Throughput%20Portable%20True%20Random%20Number%20Generator%20Based%20on%20Jitter-Latch%20Structure%22&sort=relevance,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,citation_page,can_try_browser,https://www.scinapse.io/papers/3107348029,Scinapse metadata page found by web search; no direct PDF confirmed.
10.1109/tcsi.2020.3037173,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,citation_page,can_try_browser,https://cir.nii.ac.jp/crid/1360582248978911872,CiNii metadata page found by web search; may expose IEEE links only.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,google_scholar,search_url_only,https://scholar.google.com/scholar?q=%22A%20New%20Energy-Efficient%20and%20High%20Throughput%20Two-Phase%20Multi-Bit%20per%20Cycle%20Ring%20Oscillator-Based%20True%20Random%20Number%20Generator%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,researchgate,search_url_only,https://www.researchgate.net/search/publication?q=%22A%20New%20Energy-Efficient%20and%20High%20Throughput%20Two-Phase%20Multi-Bit%20per%20Cycle%20Ring%20Oscillator-Based%20True%20Random%20Number%20Generator%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,internet_archive_scholar,search_url_only,https://scholar.archive.org/search?q=%22A%20New%20Energy-Efficient%20and%20High%20Throughput%20Two-Phase%20Multi-Bit%20per%20Cycle%20Ring%20Oscillator-Based%20True%20Random%20Number%20Generator%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,dblp,search_url_only,https://dblp.org/search?q=%22A%20New%20Energy-Efficient%20and%20High%20Throughput%20Two-Phase%20Multi-Bit%20per%20Cycle%20Ring%20Oscillator-Based%20True%20Random%20Number%20Generator%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,semantic_scholar,search_url_only,https://www.semanticscholar.org/search?q=%22A%20New%20Energy-Efficient%20and%20High%20Throughput%20Two-Phase%20Multi-Bit%20per%20Cycle%20Ring%20Oscillator-Based%20True%20Random%20Number%20Generator%22&sort=relevance,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2021.3087512,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,citation_page,can_try_browser,https://cir.nii.ac.jp/crid/1360299149218731136,CiNii metadata page found by web search; no direct PDF confirmed.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,google_scholar,search_url_only,https://scholar.google.com/scholar?q=%22Design%20of%20True%20Random%20Number%20Generator%20Based%20on%20Multi-Ring%20Convergence%20Oscillator%20Using%20Short%20Pulse%20Enhanced%20Randomness%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,researchgate,search_url_only,https://www.researchgate.net/search/publication?q=%22Design%20of%20True%20Random%20Number%20Generator%20Based%20on%20Multi-Ring%20Convergence%20Oscillator%20Using%20Short%20Pulse%20Enhanced%20Randomness%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,internet_archive_scholar,search_url_only,https://scholar.archive.org/search?q=%22Design%20of%20True%20Random%20Number%20Generator%20Based%20on%20Multi-Ring%20Convergence%20Oscillator%20Using%20Short%20Pulse%20Enhanced%20Randomness%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,dblp,search_url_only,https://dblp.org/search?q=%22Design%20of%20True%20Random%20Number%20Generator%20Based%20on%20Multi-Ring%20Convergence%20Oscillator%20Using%20Short%20Pulse%20Enhanced%20Randomness%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,semantic_scholar,search_url_only,https://www.semanticscholar.org/search?q=%22Design%20of%20True%20Random%20Number%20Generator%20Based%20on%20Multi-Ring%20Convergence%20Oscillator%20Using%20Short%20Pulse%20Enhanced%20Randomness%22&sort=relevance,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,researchgate,manual_request_only,https://www.researchgate.net/publication/372712450_Design_of_True_Random_Number_Generator_Based_on_Multi-Ring_Convergence_Oscillator_Using_Short_Pulse_Enhanced_Randomness,ResearchGate page says Request full-text PDF / no full-text available.
10.1109/tcsi.2023.3287162,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,dblp,can_try_browser,https://dblp.org/rec/journals/tcasI/NiPBYHYWW23,DBLP record; useful for Google Scholar/all versions follow-up.
10.1109/tcsi.2023.3343114,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,google_scholar,search_url_only,https://scholar.google.com/scholar?q=%22Characterization%20of%20Oscillator%20Phase%20Noise%20Arising%20From%20Multiple%20Sources%20for%20ASIC%20True%20Random%20Number%20Generation%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3343114,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,researchgate,search_url_only,https://www.researchgate.net/search/publication?q=%22Characterization%20of%20Oscillator%20Phase%20Noise%20Arising%20From%20Multiple%20Sources%20for%20ASIC%20True%20Random%20Number%20Generation%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3343114,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,internet_archive_scholar,search_url_only,https://scholar.archive.org/search?q=%22Characterization%20of%20Oscillator%20Phase%20Noise%20Arising%20From%20Multiple%20Sources%20for%20ASIC%20True%20Random%20Number%20Generation%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3343114,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,dblp,search_url_only,https://dblp.org/search?q=%22Characterization%20of%20Oscillator%20Phase%20Noise%20Arising%20From%20Multiple%20Sources%20for%20ASIC%20True%20Random%20Number%20Generation%22,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
10.1109/tcsi.2023.3343114,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,semantic_scholar,search_url_only,https://www.semanticscholar.org/search?q=%22Characterization%20of%20Oscillator%20Phase%20Noise%20Arising%20From%20Multiple%20Sources%20for%20ASIC%20True%20Random%20Number%20Generation%22&sort=relevance,Generated search URL; use browser/all-versions/manual review. Not treated as a PDF source.
