sentence_id,clause_index,clause_text,clause_type,function,claim_type,claim_strength,evidence_support,risk_words,issue,recommended_action
ABS.S2,1,This paper reports a two-board Zynq-7020 {} case study showing,main_clause,METHOD,measurement,low,None,,multi_claim_sentence,SPLIT_SENTENCE
ABS.S2,2,that  this boundary can be insufficient,relative_clause,GAP,descriptive,medium,None,,multi_claim_sentence;implication_without_evidence;colon_sentence_split_check,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
ABS.S2,3,:  sampler-side physical implementation can substantially reshape measured restart behavior.,colon_clause,RESULT,method,medium,None,,multi_claim_sentence;implication_without_evidence;colon_sentence_split_check,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
ABS.S4,1,Restart measurements then show,main_clause,RESULT,measurement,medium,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
ABS.S4,2,that  continuous-stream balance is not enough,relative_clause,BG,descriptive,none,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
ABS.S4,3,:  warmup bytes 8 and 10 trigger fixed-position diagnostic flags,colon_clause,BG,descriptive,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
ABS.S4,4,"while  warmup bytes 11, 12, and 16 do not.",subordinate_clause,BG,descriptive,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
ABS.S5,1,"The central evidence is a bidirectional sampler-side counterfactual on the primary board, plus a repeated second-board check",main_clause,BG,descriptive,low,None,,none,KEEP
ABS.S5,2,":  imposing the restart-oriented sample-RO lock changes a compact sampler configuration toward biased restart behavior on both boards, with board-specific magnitudes.",colon_clause,BG,causal/generalization,low,None,,colon_sentence_split_check,SPLIT_SENTENCE
ABS.S6,1,"On the second board, three-run forward warmup-4 and warmup-5 means are $p_1=0.450792$ and 0.445222",main_clause,BG,descriptive,low,None,,none,KEEP
ABS.S6,2,while  the reverse compact-lock warmup-4 mean is 0.498300.,subordinate_clause,BG,descriptive,none,None,,none,KEEP
ABS.S7,1,Pairwise and exact counterfactual {} diagnostics show small phase correlations under the applied screens.,main_clause,RESULT,measurement,medium,None,small,implication_without_evidence;hidden_boundary;risk_word,ADD_EVIDENCE_ANCHOR;ADD_BOUNDARY;REPLACE_RISK_VERB
ABS.S8,1,"Reduced-XOR, held-out sampler, warmup/aperture, and toolflow controls show",main_clause,RESULT,comparative,medium,None,,multi_claim_sentence;implication_without_evidence,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
ABS.S8,2,that  final all64 output can hide biased internal sampler-vector directions,relative_clause,BG,descriptive,medium,None,,multi_claim_sentence;implication_without_evidence;colon_sentence_split_check,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
ABS.S8,3,":  on the second board, moving the sample RO to a held-out physical context changes warmup-10 all64 from $p_1=0.360614$ to 0.500718",colon_clause,BG,causal/generalization,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
ABS.S8,4,"while  internal contributors remain biased and reorder, and a 12-capture original-vs-Explore matrix separates route-stable bias preservation from route-moving boundary cases.",subordinate_clause,GAP,descriptive,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
ABS.S9,1,These measurements support a diagnostic claim rather than a certification claim,main_clause,BG,measurement,medium,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
ABS.S9,2,:  sampler-side physical implementation is not passive readout in the evaluated implementations and should be included in the measured entropy-source boundary.,colon_clause,RESULT,method,low,None,,multi_claim_sentence;colon_sentence_split_check,SPLIT_SENTENCE
INTRODUCTION.P1.S1,1,"Ring-oscillator true random number generators ( {}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source [Sunar_2007,Fischer_2008,Wold_2009].",main_clause,INTERPRETATION,descriptive,medium,Citation,,none,KEEP
INTRODUCTION.P1.S3,1,"Placement, routing, clocking, reset sequencing, sampling, and readout can all affect the final bitstream.",main_clause,SETUP,causal/generalization,medium,None,,implication_without_evidence,ADD_EVIDENCE_ANCHOR
INTRODUCTION.P3.S2,1,"That  abstraction is useful for design, but it can fail as a measurement boundary.",main_clause,SETUP,method,medium,Experiment setup,,none,KEEP
INTRODUCTION.P3.S3,1,"In the measurements reported here, a placement",main_clause,SETUP,measurement,none,Experiment setup,,multi_claim_sentence,SPLIT_SENTENCE
INTRODUCTION.P3.S3,2,that  is near balanced in a continuous stream still shows warmup-dependent fixed-position restart bias.,relative_clause,RESULT,measurement,medium,None,,multi_claim_sentence;implication_without_evidence,SPLIT_SENTENCE;ADD_EVIDENCE_ANCHOR
INTRODUCTION.P3.S4,1,"More importantly, small locked changes to the sample-RO physical implementation move restart behavior in both directions",main_clause,BG,causal/generalization,low,None,small,risk_word,REPLACE_RISK_VERB
