id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,Pedro Paz; Mario Garrido,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3262353,https://oa.upm.es/87123/3/CORDIC-Based_Computation_of_Arcsine_and_Arccosine_Functions_on_FPGA.pdf,UPM institutional repository PDF,FPGA arithmetic architecture,downloaded,pdfs/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.pdf,notes/2023_TCASII_cordic_based_computation_of_arcsine_and_arccosine_functions_on_fpga.md,02_TCASII
paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,Henriette Padberg; Amir Regev; G. Piccolboni; Alessandro Bricalli; G. Molas; Jean Francois Nodin; Shahar Kvatinsky,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3302235,https://arxiv.org/pdf/2310.16843,arXiv PDF,in-memory logic / digital computing,downloaded,pdfs/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.pdf,notes/2023_TCASII_experimental_demonstration_of_non_stateful_in_memory_logic_with_1t1r_oxram_valen.md,02_TCASII
paper_03,A 380 fW Leakage Data Retention Flip-Flop for Short Sleep Periods,Shima Sedighiani; Kamlesh Kumar Singh; Roel Jordans; Pieter Harpe; José Pineda de Gyvez,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3238961,https://pure.tue.nl/ws/files/302804167/A_380_fW_Leakage_Data_Retention_Flip-Flop_for_Short_Sleep_Periods.pdf,TU Eindhoven repository PDF,digital standard-cell / flip-flop,downloaded,pdfs/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.pdf,notes/2023_TCASII_a_380_fw_leakage_data_retention_flip_flop_for_short_sleep_periods.md,02_TCASII
paper_04,A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units,Yuqin Dou; Zhikuang Cai; Haroon Waris; Roger Woods; Weiqiang Liu,2025,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2025.3574662,https://pureadmin.qub.ac.uk/ws/files/640711321/A_Novel_Error_Metric_for_Evaluating_the_Error_Correction_Capability_of_Approximate_Units.pdf,Queen's University Belfast repository PDF,approximate computing / digital units,downloaded,pdfs/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.pdf,notes/2025_TCASII_a_novel_error_metric_for_evaluating_the_error_correction_capability_of_approxima.md,02_TCASII
paper_05,TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering,Prabhu Vellaisamy; Harideep Nair; Vamsikrishna Ratnakaram; Dhruv Gupta; John Paul Shen,2024,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2024.3390002,https://arxiv.org/pdf/2412.17977,arXiv PDF,automated hardware design / neuromorphic digital units,downloaded,pdfs/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.pdf,notes/2024_TCASII_tnngen_automated_design_of_neuromorphic_sensory_processing_units_for_time_series.md,02_TCASII
paper_06,A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications,Moonis Amir Zaman; Muhammad Bilal Khan; Wajahat Ahmad; Ayesha Khalid; Maire O'Neill,2025,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2025.3633181,https://pureadmin.qub.ac.uk/ws/files/660584923/Compact_FHE_TCAS_II_CameraReady.pdf,Queen's University Belfast repository PDF,FPGA cryptographic accelerator / FHE,downloaded,pdfs/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.pdf,notes/2025_TCASII_a_lightweight_and_hardware_efficient_ntt_fpga_accelerator_for_fhe_applications.md,02_TCASII
paper_07,Design Automation of Analog and Mixed-Signal Circuits Using Neural Networks - A Tutorial Brief,G. Liñán; Nuno Lourenço; Nuno Horta; José M. de la Rosa,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3323886,https://idus.us.es/bitstream/11441/155820/1/10.1109TCSII.2023.3323886.pdf,Universidad de Sevilla repository PDF,EDA / design automation,downloaded,pdfs/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.pdf,notes/2023_TCASII_design_automation_of_analog_and_mixed_signal_circuits_using_neural_networks_a_tu.md,02_TCASII
paper_08,XNOR-Bitcount Operation Exploiting Computing-In-Memory With STT-MRAMs,Ariana Musello; Esteban Garzón; Marco Lanuzza; Luis Miguel Prócel; Ramiro Taco,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3241163,https://ieeexplore.ieee.org/ielx7/8920/10061496/10032604.pdf,IEEE Open Access PDF,CIM / digital bitcount operation,downloaded,pdfs/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.pdf,notes/2023_TCASII_xnor_bitcount_operation_exploiting_computing_in_memory_with_stt_mrams.md,02_TCASII
paper_09,A Low-Complexity Sensing Scheme for Approximate Matching Content-Addressable Memory,Esteban Garzón; Roman Golman; Marco Lanuzza; Adam Teman; Leonid Yavits,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2023.3286257,https://ieeexplore.ieee.org/ielx7/8920/4358609/10153337.pdf,IEEE Open Access PDF,CAM / approximate matching memory,downloaded,pdfs/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.pdf,notes/2023_TCASII_a_low_complexity_sensing_scheme_for_approximate_matching_content_addressable_mem.md,02_TCASII
paper_10,Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration,José Luis Imaña; Luís Piñuel; Yao-Ming Kuo; O. Ruano; Francisco García-Herrero,2024,IEEE Transactions on Circuits and Systems II: Express Briefs,https://doi.org/10.1109/tcsii.2024.3369103,https://ieeexplore.ieee.org/ielx7/8920/4358609/10444058.pdf,IEEE Open Access PDF,RISC-V / arithmetic hardware,downloaded,pdfs/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.pdf,notes/2024_TCASII_efficient_low_latency_multiplication_architecture_for_nist_trinomials_with_risc.md,02_TCASII
