id,title,authors,year,venue,topic,problem,method,platform,metrics,contribution_type,evidence_type,limitation,what_to_learn,paper_role,doi,source_url,local_pdf,note_path
paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,Quanli Deng; Chunhua Wang; Yichuang Sun; Zekun Deng; Gang Yang,2024,TCAS-I,FPGA accelerator; CIM / memory / emerging devices,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy,CIM/memory,FPGA implementation; simulation/model analysis,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsi.2024.3439869,https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf,01_TCASI\pdfs\paper_01.pdf,01_TCASI\notes\paper_01.md
paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",Yao Wang; Guangyang Zhang; Xue Mei; Chongyan Gu,2024,TCAS-I,cryptographic hardware / hardware security; measurement / sensor SoC,如何在密码算法或攻击模型约束下同时满足安全性、吞吐、延迟和硬件开销。,把密码算子、攻击路径或安全假设映射到专用 datapath、防护机制或评估流程。,ASIC / CMOS implementation,area/resource; frequency; latency; throughput; power/energy; security/leakage/fault metric,circuit; security; measurement,ASIC measurement / silicon-oriented evaluation; formal/security evaluation,需要同时交代安全假设和硬件开销，不能只报性能或只报攻击效果。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿安全评估; 适合模仿 SOTA 对比,https://doi.org/10.1109/tcsi.2024.3466972,https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf,01_TCASI\pdfs\paper_02.pdf,01_TCASI\notes\paper_02.md
paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,Luca Valente; Alessandro Nadalini; Asif Veeran; M. Sinigaglia; Bruno Sá; Nils Wistoff,2024,TCAS-I,RISC-V / SoC / processor; cryptographic hardware / hardware security,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy; security/leakage/fault metric,architecture; security,ASIC measurement / silicon-oriented evaluation; formal/security evaluation,需要同时交代安全假设和硬件开销，不能只报性能或只报攻击效果。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表; 适合模仿安全评估; 适合模仿 SOTA 对比,https://doi.org/10.1109/tcsi.2024.3359044,https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf,01_TCASI\pdfs\paper_03.pdf,01_TCASI\notes\paper_03.md
paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,Hsiao-Hsuan Liu; Carlo Gilardi; Shairfe Muhammad Salahuddin; Zhenlin Pei; P. Schuddinck; Yang Xiang,2024,TCAS-I,CIM / memory / emerging devices,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,circuit; CIM/memory,implementation-oriented evaluation,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsi.2024.3410518,https://lirias.kuleuven.be/retrieve/913275b5-a108-48a9-b523-7f949cafecb4,01_TCASI\pdfs\paper_04.pdf,01_TCASI\notes\paper_04.md
paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,Léopold Van Brandt; Michele Bonnin; Maurício Banaszeski da Silva; P. Bolcato; Gilson Wirth; Denis Flandre,2025,TCAS-I,CIM / memory / emerging devices,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,circuit; CIM/memory,simulation/model analysis,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsi.2024.3525387,https://research.dial.uclouvain.be/server/api/core/bitstreams/199313d2-4e0e-474b-8768-b03016c60195/content,01_TCASI\pdfs\paper_05.pdf,01_TCASI\notes\paper_05.md
paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,Dian Tian; Ningmei Yu; Minghui Xie; Jiahao Tang; Zhuang Feng; Álvaro Hernández,2024,TCAS-I,approximate / arithmetic computing,如何在误差、面积、延迟和能耗之间建立可控 tradeoff。,用架构图、关键模块和设计取舍把 proposed method 解释成可实现方案。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; error/quality metric,architecture,implementation-oriented evaluation,需要把适用边界、实验平台和 baseline 公平性写清。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsi.2024.3368102,https://ebuah.uah.es/dspace/bitstream/handle/10017/62156/Low_Tian_IEEETransCirSysI_2024%20(1).pdf?sequence=4,01_TCASI\pdfs\paper_06.pdf,01_TCASI\notes\paper_06.md
paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,Abdullah Alhassani; Mohammed Benaissa,2024,TCAS-I,FPGA accelerator; cryptographic hardware / hardware security; approximate / arithmetic computing,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy; security/leakage/fault metric; error/quality metric,architecture; security,implementation-oriented evaluation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表; 适合模仿安全评估; 适合模仿 SOTA 对比,https://doi.org/10.1109/tcsi.2024.3427011,https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf,01_TCASI\pdfs\paper_07.pdf,01_TCASI\notes\paper_07.md
paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,C.-Y. Hsu; Tian‐Sheuan Chang,2024,TCAS-I,FPGA accelerator,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,architecture,implementation-oriented evaluation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsi.2024.3349581,https://arxiv.org/pdf/2503.20245,01_TCASI\pdfs\paper_08.pdf,01_TCASI\notes\paper_08.md
paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,E. Ronconi; F. Garzetti; N. Lusardi; A. Costa; A. Geraci,2024,TCAS-I,FPGA accelerator; RISC-V / SoC / processor,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy,architecture,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsi.2024.3404034,https://re.public.polimi.it/bitstream/11311/1267062/1/Hybrid_Spatial_and_Temporal_Computing_Histogramer_in_Soft_Processor_Core_of_a_FPGA_Device.pdf,01_TCASI\pdfs\paper_09.pdf,01_TCASI\notes\paper_09.md
paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",Jonah Van Assche; Charlotte Frenkel; Ali Safa; Georges Gielen,2024,TCAS-I,RISC-V / SoC / processor; AI / DNN / neuromorphic accelerator; measurement / sensor SoC,如何通过处理器、SoC 或 ISA/微架构协同提升特定 workload 的性能、能效或安全性。,通过 ISA/微架构/SoC 集成和软件调用路径协同优化 workload。,RISC-V / SoC / processor platform,area/resource; frequency; latency; throughput; power/energy; accuracy or workload quality,architecture,ASIC measurement / silicon-oriented evaluation,需要同时报告硬件指标和模型精度/任务质量，避免只优化单一指标。,学习完整电路/系统论文如何从背景、架构、实现到 SOTA 对比形成闭环。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsi.2024.3504264,https://lirias.kuleuven.be/retrieve/79271a63-05dd-497e-842c-4dac4d71a658,01_TCASI\pdfs\paper_10.pdf,01_TCASI\notes\paper_10.md
paper_01,CORDIC-Based Computation of Arcsine and Arccosine Functions on FPGA,Pedro Paz; Mario Garrido,2023,TCAS-II,FPGA accelerator; approximate / arithmetic computing,如何在 FPGA 资源、带宽和时序约束下把目标算法映射成高吞吐/低延迟结构。,从算法数据流出发，设计并行度、流水线、存储 banking 和控制路径。,FPGA,area/resource; frequency; latency; throughput; power/energy; error/quality metric,architecture,FPGA implementation,需要说明 FPGA 型号、工具版本和资源归一化方式，否则 SOTA 对比容易被质疑。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表; 适合模仿方法图; 适合模仿实验表,https://doi.org/10.1109/tcsii.2023.3262353,https://oa.upm.es/87123/3/CORDIC-Based_Computation_of_Arcsine_and_Arccosine_Functions_on_FPGA.pdf,02_TCASII\pdfs\paper_01.pdf,02_TCASII\notes\paper_01.md
paper_02,Experimental Demonstration of Non-Stateful In-Memory Logic With 1T1R OxRAM Valence Change Mechanism Memristors,Henriette Padberg; Amir Regev; G. Piccolboni; Alessandro Bricalli; G. Molas; Jean Francois Nodin; Shahar Kvatinsky,2023,TCAS-II,CIM / memory / emerging devices,如何突破数据搬移、存储阵列感测或新型器件可靠性的瓶颈。,围绕 cell/array/sensing/peripheral circuit 设计存内或近存计算机制。,hardware implementation or evaluation platform,area/resource; frequency; latency; throughput; power/energy,CIM/memory,simulation/model analysis,需要说明器件/阵列规模、PVT/variation 和外围电路开销。,学习如何把单点硬件创新压缩成短摘要、主框图和硬指标表。,适合模仿摘要; 适合模仿贡献列表,https://doi.org/10.1109/tcsii.2023.3302235,https://arxiv.org/pdf/2310.16843,02_TCASII\pdfs\paper_02.pdf,02_TCASII\notes\paper_02.md
